symbol,indicator,period,usd_value
COCOA,PCOCO,1992-M01,1281.56811523438
COCOA,PCOCO,1992-M02,1191.04858398438
COCOA,PCOCO,1992-M03,1127.96362304688
COCOA,PCOCO,1992-M04,1045.48022460938
COCOA,PCOCO,1992-M05,995.311279296875
COCOA,PCOCO,1992-M06,962.632080078125
COCOA,PCOCO,1992-M07,1105.23828125
COCOA,PCOCO,1992-M08,1182.10791015625
COCOA,PCOCO,1992-M09,1118.927734375
COCOA,PCOCO,1992-M10,1071.47534179688
COCOA,PCOCO,1992-M11,1076.38452148438
COCOA,PCOCO,1992-M12,1034.90209960938
COCOA,PCOCO,1993-M01,1035.56970214844
COCOA,PCOCO,1993-M02,990.991333007813
COCOA,PCOCO,1993-M03,977.318908691406
COCOA,PCOCO,1993-M04,1010.74786376953
COCOA,PCOCO,1993-M05,998.066650390625
COCOA,PCOCO,1993-M06,941.685424804688
COCOA,PCOCO,1993-M07,1058.64367675781
COCOA,PCOCO,1993-M08,1087.17260742188
COCOA,PCOCO,1993-M09,1263.30114746094
COCOA,PCOCO,1993-M10,1290.47204589844
COCOA,PCOCO,1993-M11,1321.7763671875
COCOA,PCOCO,1993-M12,1359.50708007813
COCOA,PCOCO,1994-M01,1263.62622070313
COCOA,PCOCO,1994-M02,1226.59399414063
COCOA,PCOCO,1994-M03,1307.18884277344
COCOA,PCOCO,1994-M04,1244.00183105469
COCOA,PCOCO,1994-M05,1378.693359375
COCOA,PCOCO,1994-M06,1458.94848632813
COCOA,PCOCO,1994-M07,1555.869140625
COCOA,PCOCO,1994-M08,1551.17114257813
COCOA,PCOCO,1994-M09,1486.26354980469
COCOA,PCOCO,1994-M10,1447.70764160156
COCOA,PCOCO,1994-M11,1430.61608886719
COCOA,PCOCO,1994-M12,1397.50695800781
COCOA,PCOCO,1995-M01,1467.55847167969
COCOA,PCOCO,1995-M02,1510.63232421875
COCOA,PCOCO,1995-M03,1484.93188476563
COCOA,PCOCO,1995-M04,1463.96557617188
COCOA,PCOCO,1995-M05,1448.40893554688
COCOA,PCOCO,1995-M06,1437.16955566406
COCOA,PCOCO,1995-M07,1360.7626953125
COCOA,PCOCO,1995-M08,1410.49462890625
COCOA,PCOCO,1995-M09,1395.07531738281
COCOA,PCOCO,1995-M10,1394.64013671875
COCOA,PCOCO,1995-M11,1435.90319824219
COCOA,PCOCO,1995-M12,1380.9619140625
COCOA,PCOCO,1996-M01,1349.11267089844
COCOA,PCOCO,1996-M02,1370.55334472656
COCOA,PCOCO,1996-M03,1338.60034179688
COCOA,PCOCO,1996-M04,1457.33117675781
COCOA,PCOCO,1996-M05,1524.44140625
COCOA,PCOCO,1996-M06,1537.56213378906
COCOA,PCOCO,1996-M07,1490.37707519531
COCOA,PCOCO,1996-M08,1501.71887207031
COCOA,PCOCO,1996-M09,1475.95288085938
COCOA,PCOCO,1996-M10,1477.580078125
COCOA,PCOCO,1996-M11,1465.53503417969
COCOA,PCOCO,1996-M12,1474.232421875
COCOA,PCOCO,1997-M01,1428.79064941406
COCOA,PCOCO,1997-M02,1373.28405761719
COCOA,PCOCO,1997-M03,1521.87548828125
COCOA,PCOCO,1997-M04,1570.61486816406
COCOA,PCOCO,1997-M05,1568.29809570313
COCOA,PCOCO,1997-M06,1693.62377929688
COCOA,PCOCO,1997-M07,1677.43139648438
COCOA,PCOCO,1997-M08,1649.19458007813
COCOA,PCOCO,1997-M09,1765.58422851563
COCOA,PCOCO,1997-M10,1741.09875488281
COCOA,PCOCO,1997-M11,1696.37390136719
COCOA,PCOCO,1997-M12,1738.74926757813
COCOA,PCOCO,1998-M01,1670.671875
COCOA,PCOCO,1998-M02,1643.22595214844
COCOA,PCOCO,1998-M03,1721.06396484375
COCOA,PCOCO,1998-M04,1720.15942382813
COCOA,PCOCO,1998-M05,1781.40881347656
COCOA,PCOCO,1998-M06,1723.35205078125
COCOA,PCOCO,1998-M07,1712.24377441406
COCOA,PCOCO,1998-M08,1682.50231933594
COCOA,PCOCO,1998-M09,1685.86206054688
COCOA,PCOCO,1998-M10,1647.51867675781
COCOA,PCOCO,1998-M11,1599.91125488281
COCOA,PCOCO,1998-M12,1524.12133789063
COCOA,PCOCO,1999-M01,1455.78771972656
COCOA,PCOCO,1999-M02,1411.13742501879
COCOA,PCOCO,1999-M03,1313.89494312711
COCOA,PCOCO,1999-M04,1177.88805990602
COCOA,PCOCO,1999-M05,1059.23634621547
COCOA,PCOCO,1999-M06,1162.90740491026
COCOA,PCOCO,1999-M07,1113.2391724194
COCOA,PCOCO,1999-M08,1003.57274583327
COCOA,PCOCO,1999-M09,1060.56153712618
COCOA,PCOCO,1999-M10,1021.53721604018
COCOA,PCOCO,1999-M11,922.076617548214
COCOA,PCOCO,1999-M12,918.753685635882
COCOA,PCOCO,2000-M01,918.481742708907
COCOA,PCOCO,2000-M02,860.739968864887
COCOA,PCOCO,2000-M03,925.925803499116
COCOA,PCOCO,2000-M04,911.952356580254
COCOA,PCOCO,2000-M05,909.422413991637
COCOA,PCOCO,2000-M06,948.22785784672
COCOA,PCOCO,2000-M07,967.111550127046
COCOA,PCOCO,2000-M08,877.792726353178
COCOA,PCOCO,2000-M09,882.729175628467
COCOA,PCOCO,2000-M10,877.7229441397
COCOA,PCOCO,2000-M11,873.987159458498
COCOA,PCOCO,2000-M12,892.782646836661
COCOA,PCOCO,2001-M01,966.394992193041
COCOA,PCOCO,2001-M02,1157.46657541196
COCOA,PCOCO,2001-M03,1124.40551391217
COCOA,PCOCO,2001-M04,1083.66282594128
COCOA,PCOCO,2001-M05,1077.43612686205
COCOA,PCOCO,2001-M06,973.29105488682
COCOA,PCOCO,2001-M07,965.322726956721
COCOA,PCOCO,2001-M08,1032.48380906939
COCOA,PCOCO,2001-M09,1026.20329397817
COCOA,PCOCO,2001-M10,1084.86237757982
COCOA,PCOCO,2001-M11,1231.55077881715
COCOA,PCOCO,2001-M12,1337.42945636196
COCOA,PCOCO,2002-M01,1385.93297713796
COCOA,PCOCO,2002-M02,1490.38718251107
COCOA,PCOCO,2002-M03,1592.0292323078
COCOA,PCOCO,2002-M04,1568.14640848596
COCOA,PCOCO,2002-M05,1604.69583787364
COCOA,PCOCO,2002-M06,1656.45666951878
COCOA,PCOCO,2002-M07,1871.99852314152
COCOA,PCOCO,2002-M08,1959.27273311832
COCOA,PCOCO,2002-M09,2167.41225964985
COCOA,PCOCO,2002-M10,2201.49510769065
COCOA,PCOCO,2002-M11,1825.05743790573
